genes	logFC	logCPM	F	PValue	FDR
ENSG00000231925.11	ENSG00000231925.11	1.84295404450992	7.46938583235927	195.088333246722	2.66873558825308e-44	1.53282005577492e-41
ENSG00000179542.15	ENSG00000179542.15	1.80789912248942	0.730426468628577	31.4378702626646	2.06373781828642e-08	6.8159857801324e-07
ENSG00000175183.9	ENSG00000175183.9	1.80176074867597	1.57276789147797	49.2675498253192	2.2449792124395e-12	1.26296834275934e-10
ENSG00000122735.15	ENSG00000122735.15	1.79531459401334	-0.453088794037585	14.2905912818331	0.000156721288929222	0.00248987025625487
ENSG00000237004.3	ENSG00000237004.3	1.78291989953585	0.406252468760261	25.708759561732	3.97606830394915e-07	1.07432225481436e-05
ENSG00000169403.11	ENSG00000169403.11	1.78153372733463	4.61848086111392	134.096756025225	5.40412014343961e-31	1.53731923401206e-28
ENSG00000198959.11	ENSG00000198959.11	1.77861277576406	2.46936761536922	70.5931080703626	4.43733822341243e-17	4.14894563686135e-15
ENSG00000140564.10	ENSG00000140564.10	1.77261432319251	7.00161481733338	177.263871140101	2.04846543599201e-40	9.50298873183122e-38
ENSG00000121101.15	ENSG00000121101.15	1.76112857701901	4.04941618841892	115.080552250252	7.77033028037391e-27	1.66174850549216e-24
ENSG00000135046.13	ENSG00000135046.13	1.75677583751293	1.68550082880467	49.3838112936828	2.11584617557144e-12	1.19254627248937e-10
ENSG00000107201.9	ENSG00000107201.9	1.75140498533958	5.46634805187922	150.953996051628	1.12514587746583e-34	3.85541463512552e-32
ENSG00000110002.15	ENSG00000110002.15	1.74007386539536	1.37394305159573	42.2700034137916	7.9811409490136e-11	3.71107670279963e-09
ENSG00000064300.8	ENSG00000064300.8	1.71817482411177	1.88252260940234	51.7523026515559	6.33268041741641e-13	3.83060472029638e-11
ENSG00000184988.8	ENSG00000184988.8	1.70537492323992	2.99920934855788	79.2186026622339	5.63500964067006e-19	6.15645219944801e-17
ENSG00000204516.9	ENSG00000204516.9	1.70280206244041	4.92536833206499	130.986953862988	2.58394995996017e-30	6.80492813036149e-28
ENSG00000118503.14	ENSG00000118503.14	1.69933819305669	2.03271582541317	54.0048001597733	2.01257395640894e-13	1.28847463018164e-11
ENSG00000181381.13	ENSG00000181381.13	1.69532849881568	3.96893138314917	105.247934877651	1.10320406770182e-24	1.96259678215226e-22
ENSG00000178685.13	ENSG00000178685.13	1.68208842228266	3.99079368518217	104.76885175524	1.40465202880063e-24	2.48952473806525e-22
